Titel,Synonyms,Brand Names
"Hydroflumethiazide","Dihydroflumethazide; Hidroflumetiazid; Hydroflumethazide; Hydroflumethizide; Trifluoromethylhydrazide; Trifluoromethylhydrothiazide","Diuredemina; Diurometon; Enjit; Flutizide; Glomerulin; Hidroalogen; Robezon; Spandiuril"
"Tirofiban",,"AGG; Aggrastat; Tirofiban [BAN:INN]"
"Oxcarbazepine","Oxcarbamazepine","Trileptal"
"Propiomazine",,"Largon; Phenoctyl; Propiomazina [INN-Spanish]; Propiomazine [Usan:Ban:Inn]; Propiomazinum [INN-Latin]; Propionylpromethazine"
"Roxithromycin",,"ROX; Rulid; Rulide; Surlid"
"Nalidixic Acid",,"Cybis; Dixiben; Dixinal; Eucistin; Innoxalon; Jicsron; naladixic acid; Nalidic acid; Nalidixan; Nalidixate; Nalidixic acid USP27; Nalidixin; Nalidixinic acid; Nalitucsan; Nalix; Nalurin; Naxuril; NegGram; Negram; Nevigramon; Nogram; Sicmylon; Unaserus; Urisal; Uronidix; Wintomylon; Wintron"
"Phenelzine",,"Beta-phenylethylhydrazine; Fenelzina [INN-Spanish]; Fenelzyna; Fenelzyne; Nardil; Phenalzine; Phenelezine; Phenelzinum [INN-Latin]; Phenethylhydrazine; Phenylethyl hydrazine-HCl; Phenylethylhydrazine; Stinerval"
"Polymyxin B Sulfate","Polymixin B sulfate; Polymyxin B sulfate salt; Polymyxin B sulphate","Aerosporin; Poly-RX"
"Propantheline","Propantheline Bromide; Propanthelinium; Propanthelinum","Pro-Banthine; Propanthel"
"Estradiol","Beta-Estradiol; Cis-Estradiol; Cis-Oestradiol; D-Estradiol; D-Oestradiol; Dihydrofollicular Hormone; Dihydrofolliculin; Dihydroxyesterin; Dihydroxyestrin; Dihydroxyoestrin; estradiol; Estradiol Cypionate; Estradiol Valerate; Estradiol-17beta","Aerodiol; Agofollin; Alora; Altrad; Amnestrogen; Aquadiol; Bardiol; Climaderm; Climara; Combipatch; Compudose; Compudose 200; Compudose 365; Corpagen; Delestrogen; Depo-Estradiol; Dermestril; Dihydromenformon; Dihydrotheelin; Dimenformon; Dimenformon Prolongatum; Diogyn; Diogynets; Divigel; Elestrin; Encore; Esclim; Estinyl; Estrace; Estraderm; Estraderm Tts; Estradurin; Estrasorb; Estreva; Estrifam; Estring; Estring Vaginal Ring; Estroclim; Estroclim 50; Estrofem 2; Estrofem Forte; Estrogel; Estrogens, Esterified; Estrovite; Evamist; Evorel; Extrasorb; Femestral; Femestrol; Feminone; Femogen; Fempatch; Femring; Femtrace; Femtran; Follicyclin; Ginedisc; Ginosedol; Gynergon; Gynestrel; Gynodiol; Gynoestryl; Gynpolar; Innofem; Lamdiol; Lynoral; Macrodiol; Macrol; Menest; Menorest; Menostar; Microdiol; Nordicol; Oestergon; Oestradiol; Oestradiol R; Oestrogel; Oestroglandol; Oestrogynal; Ovahormon; Ovasterol; Ovastevol; Ovociclina; Ovocyclin; Ovocycline; Ovocylin; Perlatanol; Primofol; Profoliol; Profoliol B; Progynon; Progynon Dh; Progynon-Dh; Ricifon; Ritsifon; Sandrena Gel; Sisare Gel; Sk-Estrogens; Soldep; Sotipox; Syndiol; Systen; Tradelia; Trial Sat; Trocosone; Vagifem; Vivelle; Vivelle-DOT; Zerella; Zumenon"
"Mefenamic acid","Acide Mefenamique; Mefanamic Acid; Mefenacid; Mefenaminsaeure; Mephenamic Acid; Mephenaminic Acid; Methenamic Acid","Bafameritin-M; Bafhameritin-M; Bonabol; Coslan; HL 1; In-M; Lysalgo; Mefacit; Namphen; Parkemed; Ponalar; Ponstan; Ponstan Forte; Ponstel; Ponstil; Ponstyl; Pontal; Tamany Bonsan; Tanston; Vialidon"
"Marimastat","marimastat","Marimastat [Usan]"
"Aciclovir","9-Hyroxyethoxymethylguanine; AC2; Aciclovier; Aciclovir Sodium; Acycloguanosine; Acyclovir; Acyclovir Sodium; Wellcome-248u","Alti-Acyclovir; Avirax; Vipral; Virorax; Zovir; Zovirax; Zovirax topical"
"Naproxen",,"Aleve; Anaprox; Bonyl; Diocodal; DL Naproxen; DL-Naproxen; Dysmenalgit; Ec-naprosyn; Equiproxen; Floginax; Laraflex; Laser; Mnpa; Naixan; Naprelan; Napren; Naprium; Naprius; Naprosine; Naprosyn; Naprosyne; Naproxen Sodium; Naprux; Naxen; Naxyn; Niaxan; Nycopren; Panoxen; Pranoxen; Prexan; Proxen; Proxine; Reuxen; Veradol; Xenar"
"Gadopentetate dimeglumine",,"Gadopentetic Acid Dimeglumine Salt; Magnevist"
"Perindopril","Perindopril Erbumine","Aceon; Coversyl"
"Uracil mustard",,"Aminouracil Mustard; Chlorethaminacil; Demethyldopan; Desmethyldopan; Haemanthamine; Nordopan; Uracil nitrogen mustard; Uracillost; Uracilmostaza; Uramustin; Uramustine"
"Tripelennamine",,"Benzoxale; Cizaron; Dehistin; PBZ; Pbz-Sr; Piribenzil; Pyribenzamin; Pyribenzamine; Pyridbenzamine; Pyrinamine Base; Resistamine; Tonaril; Tripelannamine; Tripelenamine; Tripelennamin; Tripelennamina; Tripelennamine Hcl; Tripellenamine; Triplennamine"
"Haloprogin",,"Aloprogen; Haloprogin [USAN:INN:JAN]; Haloprogina [INN-Spanish]; Haloprogine [INN-French]; Haloproginum [INN-Latin]; Halotex; Mycanden; Mycilan; Polik"
"Primidone",,"Apo-Primidone; Cyral; Desoxyphenobarbitone; Hexadiona; Hexamidine; Lepimidin; Lepsiral; Liskantin; Majsolin; Medi-Pets; Midone; Milepsin; Misodine; Misolyne; Mizodin; Mizolin; Myidone; Mylepsin; Mylepsinum; Mysedon; Mysoline; Neurosyn; Pms Primidone; Prilepsin; Primacione; Primaclone; Primacone; Primakton; Primidon; Primidone Methanol Solution; Primoline; Prysoline; Pyrimidone Medi-Pets; Pyrimidone Medi-Pets; Resimatil; Sertan"
"Sulfasalazine","Sulfasalazin; Sulphasalazine","Accucol; Alti-Sulfasalazine; Asulfidine; Azlufidine EN-Tabs; Azopyrin; Azopyrine; Azulfidine; Azulfidine EN-Tabs; Benzosulfa; Colo-Pleon; PMS-Sulfasalazine; Pms-Sulfasalazine E.C.; Reupirin; Rorasul; S.A.S. Enteric-500; Salazopiridazin; Salazopyridin; Salazopyrin; Salazopyrin EN-Tabs; Salazosulfapyridin; Salazosulfapyridine; Salicylazosulfapyridine; Salisulf; Sulcolon; W-T Sasp Oral"
"Candesartan","Candesartan cilexetil","Amias; Atacand; Blopress; Ratacand"
"Tolazoline",,"Artonil; Benzazoline; Benzidazol; Benzolin; Benzylimidazoline; Dilatol Asi; Divascol; Imidalin; Imidaline; Kasimid; Lambril; Olitensol; Peripherine; Phenylmethylimidazoline; Prefaxil; Priscol; Priscoline; Tolazolin; Vasimid; Vasodil; Vasodilatan"
"Gentamicin",,"Alcomicin; Apogen; Bristagen; G-Mycin; G-Myticin; Garamycin; Garamycin Otic Solution; Genoptic Liquifilm; Genoptic S.O.P.; Gentacidin; Gentafair; Gentak; Gentamar; Gentamcin Sulfate; Jenamicin; Ocu-Mycin; Spectro-Genta; U-gencin"
"Tazarotene","tazarotene","Tazarotene [USAN:INN]; Tazorac; Zorac"
"Fenoldopam","Fenodopam mesylate; Fenoldopam mesylate; Fenoldopamum [Latin]","Corlopam"
"Halazepam","Halazepamum [INN-Latin]","Pacinone; Paxipam"
"Alfentanil","Alfentanilum [INN-Latin]; Alfentanyl","Alfenta"
"Colistin",,"Colistin sulfate; Colistin sulfate, nonsterile; Colistin sulphate; Polymyxin E sulfate; Polymyxin E. Sulfate"
"Dicyclomine",,"Atumin; Bentomine; Bentyl; Bentyl Hydrochloride; Bentylol; Bentylol Hydrochloride; Di-Syntramine; Dicicloverina [INN-Spanish]; Dicyclomine Hcl; Dicyclomine Hydrochloride; Dicycloverin; Dicycloverin Hydrochloride; Dicycloverine; Dicycloverine Hydrochloride; Dicycloverinum [INN-Latin]; Diethylaminocarbethoxybicyclohexyl Hydrochloride; Diocyl; Diocyl Hydrochloride; Dyspas; Formulex; Kolantyl Hydrochloride; Mamiesan; Merbentyl; Oxityl-P; Procyclomin; Sawamin; Spasmoban; Wyovin; Wyovin Hydrochloride"
"Minaprine","Minaprina [INN-Spanish]; Minaprine Dihydrochloride; Minaprine Hydrochloride; Minaprinum [INN-Latin]","Brantur; Cantor"
"Pentoxifylline","EHT0201; pentoxifylline","Azupentat; Dimethyloxohexylxanthine; Durapental; Oxpentifylline; Pentoxifyllin; Pentoxil; Pentoxiphyllium; Pentoxyfylline; PENTOXYPHYLINE; Pentoxyphylline; Rentylin; Torental; Trental; Vazofirin"
"Proparacaine","Proparacaine Hcl; Prossimetacaina [Dcit]; Proximetacaina [INN-Spanish]; Proximetacainum; Proxymetacaine; Proxymetacaine Hcl; Proxymetacainum [INN-Latin]","Ak-Taine; Alcaine; Diocaine; Kainair; Ocu-Caine; Ophthaine; Ophthetic; Paracaine; Spectro-Caine"
"Indapamide","Indapamida [INN-Spanish]; Indapamidum [INN-Latin]","Apo-Indapamide; Arifon; Bajaten; Cormil; Fludex; Idapamide; Indamol; Ipamix; Lozide; Lozol; Natrilix; Natrix; Noranat; Novo-Indapamide; Nu-Indapamide; Pressurai; Tandix; Tertensif; Veroxil"
"Tropicamide","Tropicamid","I-Picamide; Minims Tropicamide; Mydriacyl; Mydriafair; Mydriaticum; Ocu-Tropic; Opticyl; Paremyd; Spectro-Cyl; Tropicacyl"
"Biperiden","Beperiden; Biperiden [Usan:Ban:Inn:Jan]; Biperiden Hydrochloride; Biperidene [INN-French]; Biperidene Hydrochloride; Biperideno [INN-Spanish]; Biperidenum [INN-Latin]; Biperidine; Biperidine Hydrochloride","Akineton; Akinophyl"
"Ribavirin","RBV; Ribavirin Triphosphate; Ribavirina [INN-Spanish]; Ribavirine [INN-French]; Ribavirinum [INN-Latin]","Copegus; Rebetol; Rebetron; Rebretron; Ribamide; Ribamidil; Ribamidyl; Ribasphere; RIBAV; Ribavirin Capsules; Ribavirin-TP; RTC; RTCA; RTP; Tribavirin; Varazid; Vilona; Viramid; Virazid; Virazole; Virazole 5'-triphosphate"
"Phenylbutazone",,"'Esteve'; Alindor; Alka Butazolidin; Alkabutazona; Alqoverin; Ambene; Anerval; Anpuzone; Antadol; Anuspiramin; Apo-Phenylbutazone; Arthrizon; Artizin; Artrizin; Artrizone; Artropan; Azdid; Azobutyl; Azolid; B.T.Z.; Benzone; Betazed; Bizolin; Bizolin 200; Bunetzone; Busone; Buta Phen; Butacompren; Butacote; Butadion; Butadiona; Butadione; Butagesic; Butalgina; Butalidon; Butaluy; Butapirazol; Butapirazole; Butapyrazole; Butarecbon; Butartril; Butartrina; Butatron; Butazina; Butazolidin; Butazolidine; Butazona; Butazone; Bute; Butidiona; Butiwas-Simple; Butone; Butoz; Butylpyrin; Buvetzone; Buzon; Chembutazone; Cotylbutazone; Digibutina; Diossidone; Diozol; Diphebuzol; Diphenylbutazone; Ecobutazone; Elmedal; Equi Bute; Equipalazone; Eributazone; Exrheudon N; Febuzina; Fenartil; Fenibutal; Fenibutasan; Fenibutazona; Fenibutol; Fenilbutazona; Fenilbutina; Fenilbutine; Fenilidina; Fenotone; Fenylbutazon; Ia-But; Intalbut; Intrabutazone; Intrazone; Ipsoflame; Kadol; Lingel; Malgesic; Mepha-Butazon; Mephabutazon; Mephabutazone; Merizone; Nadazone; Nadozone; Neo-Zoline; Novophenyl; Phebuzin; Phebuzine; Phenbutazol; Phenbutazone; Phenopyrine; Phenyl-Mobuzon; Phenylbutaz; Phenylbutazonum; Phenyzene; Phenyzone; Pirarreumol B; Pirarreumol B; Praecirheumin; Pyrabutol; Pyrazolidin; Rectofasa; Reudo; Reudox; Reumasyl; Reumazin; Reumazol; Reumune; Reumuzol; Reupolar; Robizon-V; Robizone; Robizone-V; Rubatone; Scanbutazone; Schemergin; Shigrodin; Tazone; Tencodyne; Tetnor; Tevcodyne; Therazone; Ticinil; Todalgil; Usaf Ge-15; Uzone; VAC-10; Wescozone; Zolaphen; Zolidinum"
"Fentanyl","Fentanila [INN-Spanish]; fentanyl; Fentanyl citrate; Fentanylum [INN-Latin]","Actiq; Duragesic; Duragesic-100; Durogesic; Fentanest; Fentanil; Nasalfent; Pentanyl; Phentanyl; Rapinyl; Sentonil; Sublimaze"
"Meloxicam","Meloxicamum [latin]","Apo-meloxicam; Co Meloxicam; Dom-meloxicam; Gen-meloxicam; Metacam; Mobic; Mobicox; Movalis; Movatec; Novo-meloxicam; Parocin; PHL-meloxicam; PMS-meloxicam; Ratio-meloxicam; Tenaron"
"Sodium lauryl sulfate","Dodecyl alcohol, hydrogen sulfate, sodium salt; Dodecyl sodium sulfate; Dodecyl sulfate sodium; Dodecyl sulfate sodium salt; Dodecyl sulfate, sodium salt; Lauryl sodium sulfate; Lauryl sulfate sodium; Lauryl sulfate sodium salt; Lauryl sulfate, sodium salt; Laurylsiran sodny [czech]; Lauyl sodium sulfate; Monododecyl sodium sulfate; N-dodecyl sulfate sodium; NADDS; NALS; Natrium laurylsulfuricum; Natriumlaurylsulfat; SDS; Sodium dodecyl sulfate; Sodium lauryl sulfate; Sodium lauryl sulphate; Sodium monododecyl sulfate; Sodium monolauryl sulfate; Sodium n-dodecyl sulfate; Sodiumlauryl ether sulfate; Sulfuric acid dodecyl ester sodium salt; Sulfuric acid monododecyl ester sodium salt; Sulfuric acid, monododecyl ester, sodium salt","Adeka Hope LS 35; Adeka Hope LS 90; Akyposal NLS; Akyposal SDS; Alscoap LN 40A; Alscoap LN 90; Alscoap MP 90N; Alscoap SP 40; Alscoap-LN 90P; Anticerumen; Aquarex me; Aquarex methyl; Avirol 101; Avirol 118 conc; Avirol SL 2010; Berol 452; Bio-Soft SDBS 60; Calfoam ES 303; Calfoam SLS 30; Carsonol SLS; Carsonol SLS paste b; Carsonol SLS special; Carsonol SLS-s; Caswell No. 779; Conco sulfate wa; Conco sulfate WA-1200; Conco sulfate WA-1245; Conco sulfate WAG; Conco sulfate WAN; Conco sulfate WAS; Conco sulfate WN; Cycloryl 21; Cycloryl 21LS; Cycloryl 31; Cycloryl 580; Cycloryl 585N; Dehydag sulfate GL; Dehydag sulfate GL emulsion; Dehydag sulphate GL emulsion; Dehydrag sulfate GL emulsion; Dermacide; Detergent 66; Dreft; Dupanol waq; Duponal; Duponal waqe; Duponol; Duponol c; Duponol ME; Duponol methyl; Duponol QC; Duponol QX; Duponol WA; Duponol WA DRY; Duponol WAQ; Duponol waqa; Duponol waqe; Duponol waqm; Emal 10; Emal 10 Needle; Emal 10 Powder; Emal 2F; Emal 2F Needle; Emal 2F30; Emal o; Emal os; Emersal 6400; Empicol 0303; Empicol 0303VA; Empicol BSD 70; Empicol LPZ; Empicol LS 30; Empicol LX 2; Empicol LX 28; Empicol LX 28R; Empicol LX 42; Empicol LXSV 938U; Empicol LXV; Empicol LY 28S; Empicol LZ/D; Empimin SDS; Emulsogen LS; Equex S; Equex SP; Finasol OSR 2; Finasol osr(sub 2); Finasol OSR2; Fongrapol LSS; Gardinol; Gardinol type detergent; Genapol LSS; Hexamol SLS; Incronol SLS; Irium; Jordanol SL-300; K 12 (surfactant); Lanette wax s; Lanette wax-s; Maprobix neu; Maprofix 563; Maprofix LK; Maprofix neu; Maprofix wac; Maprofix wac-la; Melanol CL; Melanol CL 30; Monagen Y 100; Monogen LH; Monogen Y 100; Monogen Y 500; Montopol LA paste; Needle 10; Neutrazyme; Nikkol SLS; Nissan persoft SP; Nissan Sintrex L 100; Odoripon Al 95; Orvus WA; Orvus WA paste; Perklankrol ESD 60; Perlandrol L; Perlankrol E.S.D. 60; Perlankrol L; Pionin A 21; Polystep B 3; Polystep B 5; Quolac ex-ub; Rewopol NLS 28; Rewopol NLS 30; Rhodapon LCP; Rhodapon LSB; Rhodapon SB; Rhodapon SB 8208S; Rhodapon SM; Rhodapon UB; Richonol A; Richonol AF; Richonol C; Rolpon LS; Rosulfan L 1; Sandet ona; Silipon RN 6031; Sinnopon LS 100; Sinnopon LS 95; Sinolin 90TK-N; Sintapon l; Sintrex L 100; Sipex op; Sipex SB; Sipex SD; Sipex SP; Sipex ub; Sipon LCS 98; Sipon LS; Sipon LS 100; Sipon LSB; Sipon PD; Sipon ub; Sipon WD; Solsol needles; Sorpol 5029O; Sorpol 8070; Standapol 112 conc; Standapol WA-AC; Standapol WAQ; Standapol WAQ special; Standapol WAQ-LC; Standapol WAS 100; Stanfax 234; Steinapol NLS; Steinapol NLS 90; Stepanal WAC; Stepanol ME; Stepanol ME DRY; Stepanol ME DRY AW; Stepanol ME DRY SLS; Stepanol methyl; Stepanol methyl DRY AW; Stepanol T 28; Stepanol WA; Stepanol WA 100; Stepanol WA extra; Stepanol WA paste; Stepanol WA special; Stepanol WA-100; Stepanol WAC; Stepanol WAQ; Sterling WA paste; Sterling waq-CH; Sterling waq-cosmetic; Sulfetal L 95; Sulfochem SLS; Sulfolyser; Sulfopon T 30; Sulfopon WA 1; Sulfopon WA 1 Special; Sulfopon WA 2; Sulfopon WA 3; Sulfopon WA1 Special; Sulfopon WA2; Sulfopon WA3; Sulfotex WA; Sulfotex wala; Sunnol LM 1130; Supralate C; Surfactant K12; Surfax 220; Swascol 1P; Swascol 3L; Swascol 4L; Syntapon L; Tarapon K 12; Texapon DL conc.; Texapon K 12; Texapon K 1296; Texapon K 1298; Texapon K 12G; Texapon K12; Texapon K1296; Texapon L 100; Texapon V HC; Texapon V HC powder; Texapon Z high conc. needles; Texapon ZHC; Trepenol WA; Ufarol AM 30; Ufarol TCL 92; Ultra sulfate SL-1; WAQE; Witcolate A"
"Orciprenaline","Metaproterenol; Metaproterenol Sulfate; Orciprenalina [INN-Spanish]; Orciprenaline Sulfate; Orciprenalinum [INN-Latin]","Alotec; Alupent; Metaprel; Metaproterenol Polistirex; Novasmasol; Prometa"
"Rosoxacin","Acrosoxacin; ROS; Rosoxacine [INN-French]; Rosoxacino [INN-Spanish]","Eracine; Eradacil; Eradacin; Roxadyl; Winuron"
"Propofol","2,6-Diisopropylphenol; Diisopropylphenol","Diprivan; Disoprivan; Disoprofol; Rapinovet"
"Acetazolamide","Acetamidothiadiazolesulfonamide; Acetazolamid; Acetazolamide Sodium; Acetazolamine; Acetazoleamide; Acetozalamide; Carbonic Anhydrase Inhibitor 6063","Acetamox; Acetazolam; Ak-Zol; Apo-Acetazolamide; Atenezol; Cidamex; Dazamide; Defiltran; Dehydratin; Diacarb; Diakarb; Diamox; Diamox Sequels; Didoc; Diluran; Diuramid; Diureticum-Holzinger; Diuriwas; Diutazol; Donmox; Duiramid; Edemox; Eumicton; Fonurit; Glaupax; Glupax; Natrionex; Nephramid; Nephramide; Phonurit; Sk-Acetazolamide; Storzolamide; Vetamox"
"Tadalafil","CIA; ICOS 351; tadalafil; Tadanafil","Cialis"
"Carprofen","2-(6-Chloro-9H-carbazol-2-yl)propanoic acid; 6-Chloro-alpha-methyl-9H-carbazole-2-acetic acid; 6-Chloro-alpha-methylcarbazole-2-acetic acid; Carprofene [inn-french]; Carprofeno [inn-spanish]; Carprofenum [inn-latin]","Ridamyl; Rimadyl"
"Disulfiram","Disulfuram; Disulphuram; Dupon 4472; Dupont Fungicide 4472; TATD; TETD; Tetraethylthioperoxydicarbonic Diamide; Tetraethylthiram Disulfide; Tetraethylthiram Disulphide; Tetraethylthiuram; Tetraethylthiuram Disulfide; Tetraethylthiuram Disulphide; Tetraethylthiuram Sulfide; Tetraethylthiuran Disulfide; TTD; Usaf B-33","Abstensil; Abstinil; Abstinyl; Accel Tet; Accel Tet-R; Akrochem Tetd; Alcophobin; Alk-Aubs; Ancazide Et; Antabus; Antabuse; Antadix; Antaenyl; Antaethan; Antaethyl; Antaetil; Antalcol; Antetan; Antethyl; Antetil; Anteyl; Anthethyl; Anti-Ethyl; Antiaethan; Anticol; Antietanol; Antietil; Antikol; Antivitium; Aversan; Averzan; Bonibal; Contralin; Contrapot; Cronetal; Dicupral; Disetil; Disulfan; Disulfram; Ekagom Dtet; Ekagom Teds; Ekagom Tetds; Ekaland Tetd; Ephorran; Espenal; Esperal; Etabus; Ethyl Thiram; Ethyl Thiudad; Ethyl Thiurad; Ethyl Tuads; Ethyl Tuads Rodform; Ethyl Tuex; Ethyldithiourame; Ethyldithiurame; Etyl Tuex; Exhoran; Exhorran; Gababentin; Hoca; Krotenal; Nocbin; Nocceler Tet; Nocceler Tet-G; Noxal; Perkacit Tetd; Perkait Tetd; Refusal; Ro-Sulfiram; Sanceler Tet; Sanceler Tet-G; Soxinol Tet; Stopaethyl; Stopethyl; Stopety; Stopetyl; Super Rodiatox; Tenurid; Tenutex; Tetidis; Tetradin; Tetradine; Tetraetil; Teturam; Teturamin; Thiocid; Thiophos; Thioscabin; Thireranide; Tillram; Tiuram; TTS; TTS X"
"Ethynodiol Diacetate","Ethinodiol Diacetate; Ethynodiol; Etynodiol","Cervicundin; Continuin; Femulen; Luteonorm; Luto-Metrodiol; Metrodiol; Metrodiol Diacetate; Metrulen; Ovulen; Ovulen 50"
"Enprofylline","3-n-Propylxanthine; 3-Propylxanthine; Enprofilina [INN-Spanish]; Enprofyllinum [INN-Latin]","Nilyph; Oxeze"
"Menthol","(-)-menthol; (r)-(-)-menthol; L-(-)-menthol; L-menthol; Levomenthol",
"Natamycin",,"Natacyn; Pimaricin"
"Cinoxacin",,"Cinobac"
"Fosfomycin","Fosfocina; Fosfomycin disodium salt; Fosfomycin sodium; Fosfonomycin; Phosphomycin; phosphomycin disodium salt; Phosphonomycin","Monurol; Veramina"
"Diazepam","DAP; Methyldiazepinone","Alboral; Aliseum; Alupram; Amiprol; An-Ding; Ansiolin; Ansiolisina; Apaurin; Apo-Diazepam; Apozepam; Armonil; Assival; Atensine; Atilen; Bensedin; Bialzepam; Calmocitene; Calmpose; Cercine; Ceregulart; Condition; Diacepan; Dialag; Dialar; Diapam; Diastat; Diazemuls; Diazemulus; Diazepam Intensol; Diazepan; Diazetard; Dienpax; Dipam; Dipezona; Dizac; Domalium; Duksen; Duxen; E-Pam; Eridan; Eurosan; Evacalm; Faustan; Faustan,; Freudal; Frustan; Gewacalm; Gihitan; Kabivitrum; Kiatrium; LA III; La-Iii; Lamra; Lembrol; Levium; Liberetas; Mandrozep; Morosan; Neurolytril; Noan; Novazam; Novo-Dipam; Paceum; Pacitran; Paranten; Paxate; Paxel; Plidan; Pms-Diazepam; Pro-Pam; Q-Pam; Q-Pam Relanium; Quetinil; Quiatril; Quievita; Relaminal; Relanium; Renborin; Ruhsitus; Saromet; Sedapam; Sedipam; Seduksen; Seduxen; Serenack; Serenamin; Serenzin; Servizepam; Setonil; Sibazon; Sibazone; Solis; Sonacon; Stesolid; Stesolin; Tensopam; Tranimul; Tranqdyn; Tranquase; Tranquirit; Tranquo-Puren; Tranquo-Tablinen; Umbrium; Unisedil; Usempax Ap; Valaxona; Valeo; Valiquid; Valitran; Valium; Valrelease; Vatran; Velium; Vival; Vivol; Zetran; Zipan"
"Phenmetrazine","2-Phenyl-3-Methylmorpholine; 3-Methyl-2-phenylmorpholine; Defenmetrazin; Dexphenmetrazine; Fenmetrazin; Fenmetrazina [INN-Spanish]; Oxazimedrine; Phenmetraline hydrochloride; Phenmetrazinum [INN-Latin]; USAF Ge-1","Bromadryl; Cafilon; Marsin; Mefolin; Neo-zine; Phenmetrazin; Phenmetrazine hydrochloride; Preludin; Preludin hydrochloride; Probese-P; Probese-P hydrochloride; Psychamine A 66; Psychamine A 66 hydrochloride"
"Trifluoperazine","Trifluoperazin; Trifluoperazina; Trifluoperazine Dihydrochloride; Trifluoperazine HCl; Trifluoperazine Hydrochloride; Trifluoromethylperazine; Trifluoroperazine; Trifluoroperazine Dihydrochloride; Trifluoroperazine Hydrochloride; Trifluperazine; Trifluroperizine; Triphthazine Dihydrochloride; Tryptazine Dihydrochloride","Eskazine; Eskazinyl; Fluoperazine; Jatroneural; Modalina; Novo-Trifluzine; Stelazine; Stellazine; Synklor; Terfluzine; Trazine; Triflurin; Triftazin; Triftazine; Triperazine; Triphtazin; Triphtazine; Triphthasine; Triphthazine; Tryptazine"
"Phensuximide",,"(+/-)-N-Methyl-2-phenylsuccinimide; 1-Methyl-3-Phenylsuccinimide; Epimid; Fenosuccimide; Fensuccimide [DCIT]; Fensuximida [INN-Spanish]; Lifene; Methylphenylsuccinimide; Milontin; Milontin (TN); Milonton; Mirontin; Mirotin;7 Phenosuccimide; N-Methyl-2-phenylsuccinimide; N-Methyl-alpha-phenolsuccinimide; N-Methyl-alpha-phenylsuccinimide; Phensuximid; Phensuximide (USP); Phensuximide [BAN:INN]; Phensuximidum [INN-Latin]; Phenylsuximide; Succinimide, N-methyl-2-phenyl-; Succitimal"
"Cefaclor","CCL; Cefaclor anhydrous; Cefaclorum [INN-Latin]; Cephaclor","Alenfral; Alfacet; Alfatil; Ceclor; Ceclor CD; Distaclor; Kefral; Panacef; Panoral; Raniclor"
"Mifepristone","Mifepriston; Mifepristona [Spanish]; mifepristone; Mifepristonum [Latin]; RU486","Corlux; Mifegyne; Mifeprex"
"Brompheniramine","Brompheniramine Maleate","Bromfed; Bromfenex; Dimetane; Veltane"
"Loperamide",,"Apo-Loperamide; Diarr-Eze; Imodium; Imodium A-D; Imodium A-D Caplets; Ioperamide; Kaopectate II; Loperacap; Loperamida [INN-Spanish]; Loperamide HCL; Loperamidum [INN-Latin]; Maalox Anti-Diarrheal; Nu-Loperamide; Pepto Diarrhea Control; PMS-Loperamide; Rho-Loperamide"
"Progabide","Halogabide; Progabida [INN-Spanish]; Progabide [Usan:Ban:Inn]; Progabidum [INN-Latin]","Gabren; Gabrene"
